ZINC_ID,SMILES,Highest_Similarity,Similar_To_Query
"ZINC000019477666","[H]c1c([H])c([C@@](C(=O)O)(C([H])([H])[H])[N+]([H])([H])[H])c([H])c([H])c1C(F)(F)F",0.2143,"Tipranavir"
"ZINC000019477664","[H]c1c([H])c([C@](C(=O)O)(C([H])([H])[H])[N+]([H])([H])[H])c([H])c([H])c1C(F)(F)F",0.2143,"Tipranavir"
"ZINC000169828255","[H]c1c([H])c(C(C(=O)N([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C(F)(F)F",0.2000,"Tipranavir"
"ZINC000002664493","[H]c1c([H])c([H])c(S(=O)(=O)N(C([H])([H])C(=O)O)C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c1[H]",0.2069,"Darunavir"
"ZINC000016652612","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])C(=O)N([H])C1([H])C([H])([H])C1([H])[H]",0.2065,"Darunavir"
"ZINC000006359795","[H]C1=C([H])C([H])([H])[C@@]2([H])C(=O)N(C([H])([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=O)[C@]2([H])C1([H])[H]",0.2025,"Saquinavir"
"ZINC000006587451","[H]c1c([H])c([H])c(S(=O)(=O)N(C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c1[H]",0.2000,"Darunavir"
"ZINC000102698508","[H]C1=C([H])C([H])([H])[C@@]2([H])C(=O)N(C([H])([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=O)[C@@]2([H])C1([H])[H]",0.2025,"Saquinavir"
"ZINC000102698510","[H]C1=C([H])C([H])([H])[C@]2([H])C(=O)N(C([H])([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=O)[C@@]2([H])C1([H])[H]",0.2025,"Saquinavir"
"ZINC000034800100","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2027,"Tipranavir"
"ZINC000004218212","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])C(=O)O",0.2024,"Darunavir"
"ZINC000036885571","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C(=O)O)C([H])([H])C2([H])C([H])([H])C2([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])[H]",0.2111,"Darunavir"
"ZINC000299804014","[H]c1c([H])c(C([H])([H])N2C(=O)N([H])C([H])([H])[C@@]2([H])C(=O)O)c([H])c([H])c1C(F)(F)F",0.2073,"Saquinavir"
"ZINC000015443709","[H]c1c([H])c(S(=O)(=O)C([H])([H])[H])c(C(=O)O)c([H])c1C(F)(F)F",0.2027,"Tipranavir"
"ZINC000003195647","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c1OC([H])([H])C(=O)O",0.2000,"Darunavir"
"ZINC000299804013","[H]c1c([H])c(C([H])([H])N2C(=O)N([H])C([H])([H])[C@]2([H])C(=O)O)c([H])c([H])c1C(F)(F)F",0.2073,"Saquinavir"
"ZINC000012382583","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H]",0.2000,"Darunavir"
"ZINC000016625016","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])C(=O)N([H])C1([H])C([H])([H])C1([H])[H]",0.2088,"Darunavir"
"ZINC000016652118","[H]c1c([H])c(S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])[H]",0.2045,"Darunavir"
"ZINC000034800100","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2027,"Tipranavir"
"ZINC000757186023","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2206,"Tipranavir"
"ZINC000000380223","[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c([H])c1C(F)(F)F",0.2055,"Tipranavir"
