ligand,predicted_affinity,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000585145908.mol2,10.38443923,-6.6
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012917005.mol2,9.423262477,-9.5
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000016652612.mol2,9.363557696,-6.8
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000079017702.mol2,9.242340922,-9.5
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000079017700.mol2,9.242340922,-8.6
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012785195.mol2,9.108846188,-7
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000085642150.mol2,8.822315931,-9.9
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000155264304.mol2,8.807188869,-8
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000155264071.mol2,8.807188869,-7.6
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408702281.mol2,8.720642328,-9
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408702282.mol2,8.691418171,-10.2
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000007309543.mol2,8.657856584,-7.8
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012917010.mol2,8.651082516,-9.8
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009052241.mol2,8.564508557,-5.5
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012622968.mol2,8.531420827,-6.2
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004452614.mol2,8.527454734,-8.7
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000003623097.mol2,8.487163186,-4.1
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000096340609.mol2,8.475567102,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408703968.mol2,8.420671225,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000007309541.mol2,8.378569484,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408703969.mol2,8.285292387,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004653832.mol2,8.19211483,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000020781428.mol2,8.12690258,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009419409.mol2,8.027701974,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000016650622.mol2,7.97104001,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000016650620.mol2,7.97104001,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004785190.mol2,7.958961725,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000019929576.mol2,7.943600416,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000076066614.mol2,7.942172289,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408533121.mol2,7.92959094,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000155263958.mol2,7.916172147,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000155264192.mol2,7.916172147,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012821192.mol2,7.915744185,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000154173577.mol2,7.909952402,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012850796.mol2,7.862055302,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012809650.mol2,7.847795486,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000032550567.mol2,7.839156985,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000026782519.mol2,7.834849954,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009096929.mol2,7.803516388,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000426410422.mol2,7.801529765,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000014980934.mol2,7.791438103,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009511985.mol2,7.75765419,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013656361.mol2,7.721529007,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013656358.mol2,7.721529007,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000000798130.mol2,7.706464529,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004452616.mol2,7.683122158,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000010753595.mol2,7.614313364,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408533124.mol2,7.593146563,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012917008.mol2,7.590658665,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000079016382.mol2,7.588429451,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000079016384.mol2,7.588429451,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000409078019.mol2,7.586289048,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000007794231.mol2,7.585580349,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000016625016.mol2,7.584530115,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000003623094.mol2,7.535862923,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012917015.mol2,7.52387464,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012993008.mol2,7.509444356,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004785188.mol2,7.502291799,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009134027.mol2,7.491362691,
